LEANM,SEARCH PARAMS,URL,WGET INDEX,ADDRESS,SCHOOL ID,RDM #,WAYBACK URL,LEVEL,SURVYEAR,NCESSCH,FIPST,LEAID,SCHNO,STID,SEASCH,LEANM,SCHNAM,PHONE,MSTREE,MCITY,MSTATE,MZIP,MZIP4,LSTREE,LCITY,LSTATE,LZIP,LZIP4,TYPE,STATUS,UNION,ULOCAL,LATCOD,LONCOD,CONUM,CONAME,CDCODE,BIES,RECONSTY,RECONSTF,SMEMPUP,ISMEMPUP,SFTEPUP,ISFTEPUP,SFLE,ISFLE,SPFEMALE,ISPFEMALE,SPWHITE,ISPWHITE,SPELM,ISPELM,FTE,GSLO,GSHI,PKOFFRD,KGOFFRD,G01OFFRD,G02OFFRD,G03OFFRD,G04OFFRD,G05OFFRD,G06OFFRD,G07OFFRD,G08OFFRD,G09OFFRD,G10OFFRD,G11OFFRD,G12OFFRD,UGOFFRD,LEVEL,TITLEISTAT,TITLEI,STITLI,MAGNET,CHARTR,SHARED,FRELCH,REDLCH,TOTFRL,PK,AMPKM,AMPKF,ASPKM,ASPKF,HIPKM,HIPKF,BLPKM,BLPKF,WHPKM,WHPKF,HPPKM,HPPKF,TRPKM,TRPKF,KG,AMKGM,AMKGF,ASKGM,ASKGF,HIKGM,HIKGF,BLKGM,BLKGF,WHKGM,WHKGF,HPKGM,HPKGF,TRKGM,TRKGF,G01,AM01M,AM01F,AS01M,AS01F,HI01M,HI01F,BL01M,BL01F,WH01M,WH01F,HP01M,HP01F,TR01M,TR01F,G02,AM02M,AM02F,AS02M,AS02F,HI02M,HI02F,BL02M,BL02F,WH02M,WH02F,HP02M,HP02F,TR02M,TR02F,G03,AM03M,AM03F,AS03M,AS03F,HI03M,HI03F,BL03M,BL03F,WH03M,WH03F,HP03M,HP03F,TR03M,TR03F,G04,AM04M,AM04F,AS04M,AS04F,HI04M,HI04F,BL04M,BL04F,WH04M,WH04F,HP04M,HP04F,TR04M,TR04F,G05,AM05M,AM05F,AS05M,AS05F,HI05M,HI05F,BL05M,BL05F,WH05M,WH05F,HP05M,HP05F,TR05M,TR05F,G06,AM06M,AM06F,AS06M,AS06F,HI06M,HI06F,BL06M,BL06F,WH06M,WH06F,HP06M,HP06F,TR06M,TR06F,G07,AM07M,AM07F,AS07M,AS07F,HI07M,HI07F,BL07M,BL07F,WH07M,WH07F,HP07M,HP07F,TR07M,TR07F,G08,AM08M,AM08F,AS08M,AS08F,HI08M,HI08F,BL08M,BL08F,WH08M,WH08F,HP08M,HP08F,TR08M,TR08F,G09,AM09M,AM09F,AS09M,AS09F,HI09M,HI09F,BL09M,BL09F,WH09M,WH09F,HP09M,HP09F,TR09M,TR09F,G10,AM10M,AM10F,AS10M,AS10F,HI10M,HI10F,BL10M,BL10F,WH10M,WH10F,HP10M,HP10F,TR10M,TR10F,G11,AM11M,AM11F,AS11M,AS11F,HI11M,HI11F,BL11M,BL11F,WH11M,WH11F,HP11M,HP11F,TR11M,TR11F,G12,AM12M,AM12F,AS12M,AS12F,HI12M,HI12F,BL12M,BL12F,WH12M,WH12F,HP12M,HP12F,TR12M,TR12F,UG,AMUGM,AMUGF,ASUGM,ASUGF,HIUGM,HIUGF,BLUGM,BLUGF,WHUGM,WHUGF,HPUGM,HPUGF,TRUGM,TRUGF,MEMBER,AM,AMALM,AMALF,ASIAN,ASALM,ASALF,HISP,HIALM,HIALF,BLACK,BLALM,BLALF,WHITE,WHALM,WHALF,PACIFIC,HPALM,HPALF,TR,TRALM,TRALF,TOTETH,VIRTUALSTAT,NSLPSTATUS,CHARTAUTH1,CHARTAUTH2
IDEA PUBLIC SCHOOLS,"IDEA QUEST ACADEMY 14001 NORTH ROOTH RD, EDINBURG, TX",http://www.ideapublicschools.com/,154,"14001 NORTH ROOTH RD, EDINBURG, TX",TX108807102,0.755622861,https://web.archive.org/web/*/http://www.ideapublicschools.com/,1,2013,4.80E+11,48,4800211,11427,108807,108807102,IDEA PUBLIC SCHOOLS,IDEA QUEST ACADEMY,9562871003,14001 N ROOTH RD,EDINBURG,TX,78541,187,14001 NORTH ROOTH RD,EDINBURG,TX,78541,187,1,1,0,41,26.3322,-98.2305,48215,HIDALGO COUNTY,4815,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,26.53,KG,5,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,5,1,1,2,1,M,463,98,561,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,108,0,0,2,1,42,61,0,0,2,0,0,0,0,0,120,0,0,1,3,55,57,0,0,1,3,0,0,0,0,119,0,0,4,3,51,57,0,0,1,3,0,0,0,0,109,0,0,4,1,53,46,0,1,2,2,0,0,0,0,125,0,0,4,1,62,51,1,0,3,3,0,0,0,0,119,0,0,1,1,56,56,0,0,2,3,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,700,0,0,0,26,16,10,647,319,328,2,1,1,25,11,14,0,0,0,0,0,0,700,N,M,1,M
LAKE ERIE COLLEGE PREPARATORY SCHOOL,"LAKE ERIE COLLEGE PREPARATORY SCHOOL 14405 SAINT CLAIR AVE, CLEVELAND, OH",http://www.icanschools.org/lake-erie-preparatory-school,155,"14405 SAINT CLAIR AVE, CLEVELAND, OH",OH13132,0.07299117,https://web.archive.org/web/*/http://www.icanschools.org/lake-erie-preparatory-school,1,2013,3.90E+11,39,3901499,5712,13132,13132,LAKE ERIE COLLEGE PREPARATORY SCHOOL,LAKE ERIE COLLEGE PREPARATORY SCHOOL,3305150572,14405 SAINT CLAIR AVE,CLEVELAND,OH,44110,3433,14405 SAINT CLAIR AVE,CLEVELAND,OH,44110,3433,1,1,0,11,41.5524,-81.5811,39035,CUYAHOGA COUNTY,3911,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,11.32,KG,8,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,3,1,1,N,1,2,267,0,267,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,30,0,0,0,0,1,1,11,16,0,0,0,0,0,1,35,0,0,0,0,0,0,14,21,0,0,0,0,0,0,31,0,0,0,0,0,0,11,19,0,0,0,0,1,0,31,0,0,0,0,0,1,14,16,0,0,0,0,0,0,31,0,0,1,0,0,0,18,12,0,0,0,0,0,0,27,0,0,0,0,0,0,17,9,1,0,0,0,0,0,39,0,0,0,0,0,0,17,21,0,0,0,0,1,0,40,0,0,0,0,0,1,21,18,0,0,0,0,0,0,36,0,0,0,0,0,0,21,15,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,300,0,0,0,1,1,0,4,1,3,291,144,147,1,1,0,0,0,0,3,2,1,300,VIRTUALNO,NSLPCEO,662,M
ERATH EXCELS ACADEMY INC,"HUSTON ACADEMY 680 PEACH ORCHARD RD, STEPHENVILLE, TX",http://www.hustonacademy.com/,156,"680 PEACH ORCHARD RD, STEPHENVILLE, TX",TX72802001,0.248413575,https://web.archive.org/web/*/http://www.hustonacademy.com/,3,2013,4.80E+11,48,4800159,8364,72802,72802001,ERATH EXCELS ACADEMY INC,HUSTON ACADEMY,2549658883,680 PEACH ORCHARD RD,STEPHENVILLE,TX,76401,3710,680 PEACH ORCHARD RD,STEPHENVILLE,TX,76401,3710,4,1,0,41,32.2392,-98.169,48143,ERATH COUNTY,4811,2,N,2,1,FA,2,PS,2,PS,2,PS,2,PS,2,PS,7.89,7,12,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,3,5,1,1,2,1,M,78,5,83,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,6,0,0,0,0,0,0,0,0,3,3,0,0,0,0,11,0,0,0,0,1,5,0,0,3,2,0,0,0,0,31,0,1,0,0,6,5,0,1,11,6,0,0,1,0,24,0,0,0,0,4,4,0,0,3,13,0,0,0,0,23,0,0,0,0,6,2,0,0,9,6,0,0,0,0,16,0,0,0,0,3,4,0,0,2,7,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,111,1,0,1,0,0,0,40,20,20,1,0,1,68,31,37,0,0,0,1,1,0,111,N,M,1,M
HIGLEY UNIFIED SCHOOL DISTRICT,"COOLEY MIDDLE SCHOOL 1100 SOUTH RECKER RD, GILBERT, AZ",http://www.husd.org/cooley,157,"1100 SOUTH RECKER RD, GILBERT, AZ",AZ92259,0.613827072,https://web.archive.org/web/*/http://www.husd.org/cooley,2,2013,40378003381,4,403780,3381,4248,92259,HIGLEY UNIFIED SCHOOL DISTRICT,COOLEY MIDDLE SCHOOL,4802797000,2935 SOUTH RECKER ROAD,GILBERT,AZ,85295,0,1100 SOUTH RECKER RD,GILBERT,AZ,85296,0,1,3,0,21,33.336,-111.7042,4013,MARICOPA COUNTY,405,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,46.39,7,8,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1,2,M,1,2,164,64,228,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,475,2,4,14,11,46,29,11,13,147,185,1,0,4,8,453,4,3,9,12,49,44,15,11,145,147,1,1,5,7,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,928,13,6,7,46,23,23,168,95,73,50,26,24,624,292,332,3,2,1,24,9,15,928,VIRTUALNO,NSLPWOPRO,4248,M
ACHIEVEMENT SCHOOL DISTRICT,"HUMES PREPARATORY ACADEMY - UPPER SCHOOL 659 NORTH MANASSAS ST, MEMPHIS, TN",http://www.humespa.org/,158,"659 NORTH MANASSAS ST, MEMPHIS, TN",TN8015,0.869770631,https://web.archive.org/web/*/http://www.humespa.org/,2,2013,4.70E+11,47,4700147,2304,985,8015,ACHIEVEMENT SCHOOL DISTRICT,HUMES PREPARATORY ACADEMY - UPPER SCHOOL,9012640636,659 N MANASSAS ST,MEMPHIS,TN,38107,0,659 NORTH MANASSAS ST,MEMPHIS,TN,38107,0,1,1,0,11,35.1583,-90.0336,47157,SHELBY COUNTY,4709,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,23,6,8,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,5,1,1,2,1,2,257,10,267,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,120,0,0,0,0,0,0,59,61,0,0,0,0,0,0,125,0,0,0,0,0,0,48,75,0,1,0,0,1,0,73,0,0,0,0,0,0,34,39,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,318,0,0,0,0,0,0,0,0,0,316,141,175,1,0,1,0,0,0,1,1,0,318,VIRTUALNO,NSLPWOPRO,4700147,M
HOUSTON ISD,"CHALLENGE EARLY COLLEGE H S 5601 WEST LOOP SOUTH, HOUSTON, TX",http://www.houstonisd.org/Domain/22641,159,"5601 WEST LOOP SOUTH, HOUSTON, TX",TX101912323,0.910922747,https://web.archive.org/web/*/http://www.houstonisd.org/Domain/22641,3,2013,4.82E+11,48,4823640,9609,101912,101912323,HOUSTON ISD,CHALLENGE EARLY COLLEGE H S,7136649712,5601 W LOOP S,HOUSTON,TX,77081,0,5601 WEST LOOP SOUTH,HOUSTON,TX,77081,0,1,1,0,11,29.7214,-95.4574,48201,HARRIS COUNTY,4807,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,19.06,9,12,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,3,5,1,1,2,1,M,245,66,311,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,122,0,0,3,0,42,51,5,9,7,3,0,0,2,0,121,0,0,0,3,42,49,6,8,7,6,0,0,0,0,111,0,0,0,4,34,43,5,7,9,7,0,0,0,2,96,0,0,0,3,27,33,5,8,8,8,0,0,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,450,0,0,0,13,3,10,321,145,176,53,21,32,55,31,24,0,0,0,8,4,4,450,N,M,101912,M
HILLTOWN COOPERATIVE CHARTER  PUBLIC (DISTRICT),"HILLTOWN COOPERATIVE CHARTER PUBLIC SCHOOL 132 MAIN ST, HAYDENVILLE, MA",http://www.hilltowncharter.org/,160,"132 MAIN ST, HAYDENVILLE, MA",MA4500105,0.822007195,https://web.archive.org/web/*/http://www.hilltowncharter.org/,1,2013,2.50E+11,25,2500031,549,450,4500105,HILLTOWN COOPERATIVE CHARTER  PUBLIC (DISTRICT),HILLTOWN COOPERATIVE CHARTER PUBLIC SCHOOL,4132683421,132 MAIN STREET,HAYDENVILLE,MA,1039,147,132 MAIN ST,HAYDENVILLE,MA,1039,147,1,1,0,41,42.3762,-72.7055,25015,HAMPSHIRE COUNTY,2501,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,14.69,KG,8,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,2,1,2,M,1,2,13,18,31,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,18,0,0,1,0,0,0,0,0,4,10,0,0,0,3,18,0,0,0,0,0,0,0,1,9,8,0,0,0,0,20,0,0,0,0,1,1,0,0,9,8,0,0,1,0,20,0,0,0,0,1,0,0,0,13,5,0,0,1,0,20,0,0,0,0,0,0,0,0,6,13,0,0,0,1,22,0,0,0,0,1,0,0,0,12,8,0,0,0,1,21,0,0,0,0,0,2,1,0,8,8,0,0,1,1,20,0,0,0,0,0,0,0,0,8,12,0,0,0,0,16,0,0,0,0,1,0,0,0,9,4,0,0,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,1,1,0,7,4,3,2,1,1,154,78,76,0,0,0,11,4,7,175,VIRTUALNO,NSLPWOPRO,9000,M
SBC - HIGH TECH HIGH,"HIGH TECH MIDDLE CHULA VISTA 1949 DISCOVERY FALLS DR, CHULA VISTA, CA",http://www.hightechhigh.org/schools/HTHCV/,161,"1949 DISCOVERY FALLS DR, CHULA VISTA, CA",CA123042,0.581525852,https://web.archive.org/web/*/http://www.hightechhigh.org/schools/HTHCV/,2,2013,60132212642,6,601322,12642,3776471,123042,SBC - HIGH TECH HIGH,HIGH TECH MIDDLE CHULA VISTA,6192435014,2861 WOMBLE RD.,SAN DIEGO,CA,92106,6025,1949 DISCOVERY FALLS DR,CHULA VISTA,CA,91915,2037,1,1,0,41,32.615989,-116.954249,6073,SAN DIEGO COUNTY,653,2,N,2,2,PS,1,FA,2,PS,2,PS,2,PS,2,PS,6,6,8,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,5,1,1,2,1,M,91,82,173,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,104,0,0,7,6,37,40,2,3,5,1,1,1,1,0,111,1,1,2,8,37,47,2,5,4,4,0,0,0,0,112,1,0,7,4,36,47,5,1,3,2,0,1,2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,327,3,2,1,34,16,18,244,110,134,18,9,9,19,12,7,3,1,2,6,3,3,327,N,NSLPNO,601322,M
UPLIFT EDUCATION - WILLIAMS PREPARATORY,"UPLIFT EDUCATION - HEIGHTS PREP PRI 2650 CANADA DR, DALLAS, TX",http://www.heightsprep.org/,162,"2650 CANADA DR, DALLAS, TX",TX57842103,0.760079028,https://web.archive.org/web/*/http://www.heightsprep.org/,1,2013,4.80E+11,48,4801406,12647,57842,57842103,UPLIFT EDUCATION - WILLIAMS PREPARATORY,UPLIFT EDUCATION - HEIGHTS PREP PRI,2144427094,606 E ROYAL LN,IRVING,TX,75039,0,2650 CANADA DR,DALLAS,TX,75212,0,1,1,0,11,32.79,-96.8657,48113,DALLAS COUNTY,4830,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,16.61,KG,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,5,1,1,2,1,M,198,40,238,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,90,1,1,1,1,32,37,7,6,3,0,0,0,1,0,88,0,0,1,0,40,26,11,8,0,1,0,0,1,0,97,0,0,0,1,41,33,7,10,1,1,0,0,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,275,2,1,1,4,2,2,209,113,96,49,25,24,6,4,2,0,0,0,5,3,2,275,N,M,1,M
DR RICHARD IZQUIERDO HEALTH AND SCIENCE CHARTER SCHOOL,"DR RICHARD IZQUIERDO HEALTH AND SCIENCE CHARTER SC 800 HOME STRM 205, BRONX, NY",http://www.healthscienceschool.org/,163,"800 HOME STRM 205, BRONX, NY",NY321200860965,0.485961142,https://web.archive.org/web/*/http://www.healthscienceschool.org/,2,2013,3.60E+11,36,3601027,6234,3.21E+11,3.21E+11,DR RICHARD IZQUIERDO HEALTH AND SCIENCE CHARTER SCHOOL,DR RICHARD IZQUIERDO HEALTH AND SCIENCE CHARTER SC,7183780490,800 HOME ST-RM 205,BRONX,NY,10456,0,800 HOME STRM 205,BRONX,NY,10456,0,1,1,0,11,40.8271,-73.9006,36005,BRONX COUNTY,3615,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,31,6,9,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,3,1,1,2,1,2,356,29,385,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,185,0,0,0,0,71,57,22,34,0,1,0,0,0,0,90,0,0,0,0,28,29,11,21,0,1,0,0,0,0,85,0,0,0,0,22,25,13,24,0,0,0,0,0,1,61,0,0,0,0,17,28,6,10,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,421,0,0,0,0,0,0,277,138,139,141,52,89,2,0,2,0,0,0,1,0,1,421,VIRTUALNO,NSLPWOPRO,3,M
GREEN WOODS CS,"GREEN WOODS CS 119 RECTOR ST, PHILADELPHIA, PA",http://www.greenwoodscharter.org/,164,"119 RECTOR ST, PHILADELPHIA, PA",PA7748,0.771844713,https://web.archive.org/web/*/http://www.greenwoodscharter.org/,1,2013,4.20E+11,42,4200104,690,126510005,7748,GREEN WOODS CS,GREEN WOODS CS,2154826337,119 RECTOR STREET,PHILADELPHIA,PA,19127,0,119 RECTOR ST,PHILADELPHIA,PA,19127,0,1,1,0,11,40.025,-75.2204,42101,PHILADELPHIA COUNTY,4202,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,30.2,KG,8,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,2,2,1,2,77,0,77,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,78,0,2,3,2,0,3,3,3,33,29,0,0,0,0,78,0,1,0,1,1,2,6,5,31,31,0,0,0,0,79,1,1,2,2,2,0,6,7,35,23,0,0,0,0,79,0,1,0,2,2,2,6,5,34,27,0,0,0,0,52,0,0,1,1,0,0,8,7,18,17,0,0,0,0,26,0,0,0,1,1,0,2,2,11,9,0,0,0,0,26,0,0,0,2,0,0,1,1,16,6,0,0,0,0,26,0,0,0,1,0,0,2,1,9,13,0,0,0,0,22,0,0,0,0,1,0,4,1,9,7,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,466,6,1,5,18,6,12,14,7,7,70,38,32,358,196,162,0,0,0,0,0,0,466,VIRTUALNO,NSLPNO,126515001,M
