#Script/Language Identifier zh
#Script/Language Description Chinese
#
Version 1 20120329
#
#This is the Chinese IDN Table for the proposed TLD.
#
#It was derived from the following sources:
#
#    IDN Character Table for CNNIC: http://www.iana.org/domains/idn-tables/tables/cn_zh-cn_4.0.html
#    IDN Character Table for TWNIC: http://www.iana.org/domains/idn-tables/tables/tw_zh-tw_4.0.1.html
#
#For each code point in the repertoire specified in the tables above, the preferred variants from each table are merged to yield both the traditional and simplified forms (if they differ). Similarly, the other variants from each table are merged.
#
#Format
#
#This table is an adaptation of the table format specified in RFC 3743. Columns are delimited by semicolon, in the form of:
#
#CODE POINT;CANONICAL CODE POINT;PREFERRED VARIANTS[;OTHER VARIANTS]
#
#The "CODE POINT" column specifies the code point available for registration.
#The "CANONICAL CODE POINT" column specifies an internal code point used for the efficient blocking of variant labels.
#The "PREFERRED VARIANTS" column lists the preferred variants that are related to the given code point in the first column.
#The "OTHER VARIANTS" column, if present, lists other variants that are related to the given code point in the first column.
#These preferred variants are separated by commas.
#Acknowledgements
#
#Donuts, Inc. would like to express its gratitude towards CNNIC and TWNIC for publishing their respective tables for the benefit of the community.
U+75A0;U+75A0;U+75A0,U+7658	# ?;?;?,?;
U+75A1;U+75A1;U+75A1,U+760D	# ?;?;?,?;
U+75A2;U+75A2;U+75A2	# ?;?;?;
U+75A3;U+75A3;U+75A3	# ?;?;?;
U+75A4;U+75A4;U+75A4	# ?;?;?;
U+75A5;U+75A5;U+75A5	# ?;?;?;
U+75A6;U+75A6;U+75A6	# ?;?;?;
U+75A7;U+75A7;U+75A7	# ?;?;?;
U+75A8;U+75A8;U+75A8	# ?;?;?;
U+75AA;U+75F9;U+75F9,U+75AA;U+75FA	# ?;?;?,?;?
U+75AB;U+75AB;U+75AB	# ?;?;?;
U+75AC;U+75AC;U+75AC,U+7667	# ?;?;?,?;
U+75AD;U+75AD;U+75AD,U+7632	# ?;?;?,?;
U+75AE;U+75AE;U+75AE,U+7621	# ?;?;?,?;
U+75AF;U+75AF;U+75AF,U+760B	# ?;?;?,?;
U+75B0;U+75B0;U+75B0	# ?;?;?;
U+75B1;U+75B1;U+75B1,U+76B0	# ?;?;?,?;
U+75B2;U+75B2;U+75B2	# ?;?;?;
U+75B3;U+75B3;U+75B3	# ?;?;?;
U+75B4;U+75B4;U+75B4	# ?;?;?;
U+75B5;U+75B5;U+75B5	# ?;?;?;
U+75B6;U+75B6;U+75B6	# ?;?;?;
U+75B8;U+75B8;U+75B8	# ?;?;?;
U+75B9;U+75B9;U+75B9	# ?;?;?;
U+75BA;U+75BA;U+75BA	# ?;?;?;
U+75BB;U+75BB;U+75BB	# ?;?;?;
U+75BC;U+75BC;U+75BC	# ?;?;?;
U+75BD;U+75BD;U+75BD	# ?;?;?;
U+75BE;U+75BE;U+75BE	# ?;?;?;
U+75BF;U+75F1;U+75F1,U+75BF	# ?;?;?,?;
U+75C0;U+75C0;U+75C0	# ?;?;?;
U+75C1;U+75C1;U+75C1	# ?;?;?;
U+75C2;U+75C2;U+75C2	# ?;?;?;
U+75C3;U+75C3;U+75C3	# ?;?;?;
U+75C4;U+75C4;U+75C4	# ?;?;?;
U+75C5;U+75C5;U+75C5	# ?;?;?;
U+75C6;U+75C6;U+75C6	# ?;?;?;
U+75C7;U+75C7;U+75C7,U+7665	# ?;?;?,?;
U+75C8;U+75C8;U+75C8,U+7670	# ?;?;?,?;
U+75C9;U+75C9;U+75C9,U+75D9	# ?;?;?,?;
U+75CA;U+75CA;U+75CA	# ?;?;?;
U+75CB;U+75CB;U+75CB	# ?;?;?;
U+75CC;U+606B;U+606B,U+75CC	# ?;?;?,?;
U+75CD;U+75CD;U+75CD	# ?;?;?;
U+75CE;U+75CE;U+75CE	# ?;?;?;
U+75CF;U+75CF;U+75CF	# ?;?;?;
U+75D0;U+86D4;U+86D4,U+75D0;U+8698,U+8716	# ?;?;?,?;?,?
U+75D1;U+75D1;U+75D1	# ?;?;?;
U+75D2;U+75D2;U+75D2,U+7662	# ?;?;?,?;
U+75D3;U+75D3;U+75D3	# ?;?;?;
U+75D4;U+75D4;U+75D4	# ?;?;?;
U+75D5;U+75D5;U+75D5	# ?;?;?;
U+75D6;U+54D1;U+75D6,U+555E;U+54D1,U+7602,U+5516	# ?;?;?,?;?,?,?
U+75D7;U+75D7;U+75D7	# ?;?;?;
U+75D8;U+75D8;U+75D8	# ?;?;?;
U+75D9;U+75C9;U+75C9,U+75D9	# ?;?;?,?;
U+75DA;U+75DA;U+75DA	# ?;?;?;
U+75DB;U+75DB;U+75DB	# ?;?;?;
U+75DD;U+75DD;U+75DD	# ?;?;?;
U+75DE;U+75DE;U+75DE	# ?;?;?;
U+75DF;U+75DF;U+75DF	# ?;?;?;
U+75E0;U+75E0;U+75E0	# ?;?;?;
U+75E1;U+75E1;U+75E1	# ?;?;?;
U+75E2;U+75E2;U+75E2;U+9B01	# ?;?;?;?
U+75E3;U+75E3;U+75E3	# ?;?;?;
U+75E4;U+75E4;U+75E4	# ?;?;?;
U+75E5;U+75E5;U+75E5	# ?;?;?;
U+75E6;U+75E6;U+75E6	# ?;?;?;
U+75E7;U+75E7;U+75E7	# ?;?;?;
U+75E8;U+75E8;U+75E8,U+7646	# ?;?;?,?;
U+75EA;U+75EA;U+75EA,U+7613	# ?;?;?,?;
U+75EB;U+75EB;U+75EB,U+7647	# ?;?;?,?;
U+75EC;U+75EC;U+75EC	# ?;?;?;
U+75ED;U+75ED;U+75ED	# ?;?;?;
U+75EF;U+75EF;U+75EF	# ?;?;?;
U+75F0;U+75F0;U+75F0	# ?;?;?;
U+75F1;U+75F1;U+75F1;U+75BF	# ?;?;?;?
U+75F2;U+6DCB;U+9EBB,U+75F2;U+6DCB,U+8534,U+75F3	# ?;?;?,?;?,?,?
U+75F3;U+6DCB;U+6DCB,U+75F3;U+75F2,U+9EBB,U+8534	# ?;?;?,?;?,?,?
U+75F4;U+75F4;U+75F4,U+7661	# ?;?;?,?;
U+75F5;U+60B8;U+60B8,U+75F5	# ?;?;?,?;
U+75F6;U+75F6;U+75F6	# ?;?;?;
U+75F7;U+75F7;U+75F7	# ?;?;?;
U+75F8;U+75F8;U+75F8	# ?;?;?;
U+75F9;U+75F9;U+75F9;U+75FA,U+75AA	# ?;?;?;?,?
U+75FA;U+75F9;U+75F9,U+75FA;U+75AA	# ?;?;?,?;?
U+75FB;U+75FB;U+75FB	# ?;?;?;
U+75FC;U+75FC;U+75FC	# ?;?;?;
U+75FD;U+75FD;U+75FD	# ?;?;?;
U+75FE;U+75FE;U+75FE	# ?;?;?;
U+75FF;U+75FF;U+75FF	# ?;?;?;
U+7600;U+7600;U+7600	# ?;?;?;
U+7601;U+7601;U+7601	# ?;?;?;
U+7602;U+54D1;U+75D6,U+555E;U+54D1,U+5516	# ?;?;?,?;?,?
U+7603;U+7603;U+7603	# ?;?;?;
U+7604;U+7604;U+7604	# ?;?;?;
U+7605;U+7605;U+7605,U+7649	# ?;?;?,?;
U+7606;U+7606;U+7606,U+762E	# ?;?;?,?;
U+7607;U+7607;U+7607	# ?;?;?;
U+7608;U+7608;U+7608	# ?;?;?;
U+7609;U+6108;U+6108,U+7609;U+7652	# ?;?;?,?;?
U+760A;U+760A;U+760A	# ?;?;?;
U+760B;U+75AF;U+75AF,U+760B	# ?;?;?,?;
U+760C;U+760C;U+760C;U+9B0E	# ?;?;?;?
U+760D;U+75A1;U+75A1,U+760D	# ?;?;?,?;
U+760E;U+760E;U+760E	# ?;?;?;
U+760F;U+760F;U+760F	# ?;?;?;
U+7610;U+7610;U+7610	# ?;?;?;
U+7611;U+8717;U+8717,U+7611;U+8778	# ?;?;?,?;?
U+7612;U+7612;U+7612	# ?;?;?;
U+7613;U+75EA;U+75EA,U+7613	# ?;?;?,?;
U+7614;U+82E6;U+82E6,U+7614	# ?;?;?,?;
U+7615;U+7615;U+7615	# ?;?;?;
U+7616;U+5591;U+5591,U+7616;U+567E	# ?;?;?,?;?
U+7617;U+7617;U+7617,U+761E	# ?;?;?,?;
U+7618;U+7618;U+7618,U+763A;U+763B	# ?;?;?,?;?
U+7619;U+7619;U+7619	# ?;?;?;
U+761A;U+761A;U+761A	# ?;?;?;
U+761B;U+761B;U+761B	# ?;?;?;
U+761C;U+761C;U+761C	# ?;?;?;
U+761D;U+761D;U+761D	# ?;?;?;
U+761E;U+7617;U+7617,U+761E	# ?;?;?,?;
U+761F;U+761F;U+761F	# ?;?;?;
U+7620;U+7620;U+7620;U+818C	# ?;?;?;?
U+7621;U+75AE;U+75AE,U+7621	# ?;?;?,?;
U+7622;U+7622;U+7622	# ?;?;?;
U+7623;U+574F;U+574F,U+7623;U+58CA,U+58DE,U+576F	# ?;?;?,?;?,?,?
U+7624;U+7624;U+7624	# ?;?;?;
U+7625;U+7625;U+7625	# ?;?;?;
U+7626;U+7626;U+7626	# ?;?;?;
U+7627;U+759F;U+759F,U+7627	# ?;?;?,?;
U+7628;U+766B;U+766B,U+7628;U+7672	# ?;?;?,?;?
U+7629;U+7629;U+7629	# ?;?;?;
U+762A;U+762A;U+762A,U+765F	# ?;?;?,?;
U+762B;U+762B;U+762B,U+7671	# ?;?;?,?;
U+762D;U+762D;U+762D	# ?;?;?;
U+762E;U+7606;U+7606,U+762E	# ?;?;?,?;
U+762F;U+762F;U+762F	# ?;?;?;
U+7630;U+7630;U+7630	# ?;?;?;
U+7631;U+7631;U+7631	# ?;?;?;
U+7632;U+75AD;U+75AD,U+7632	# ?;?;?,?;
U+7633;U+7633;U+7633	# ?;?;?;
U+7634;U+7634;U+7634	# ?;?;?;
U+7635;U+7635;U+7635	# ?;?;?;
U+7636;U+7636;U+7636	# ?;?;?;
U+7637;U+7637;U+7637	# ?;?;?;
U+7638;U+7638;U+7638	# ?;?;?;
U+7639;U+7639;U+7639	# ?;?;?;
U+763A;U+7618;U+7618,U+763A;U+763B	# ?;?;?,?;?
U+763B;U+7618;U+7618,U+763A	# ?;?;?,?;
U+763C;U+763C;U+763C	# ?;?;?;
U+763D;U+52E4;U+52E4,U+763D;U+61C3	# ?;?;?,?;?
U+763E;U+763E;U+763E,U+766E	# ?;?;?,?;
U+763F;U+763F;U+763F,U+766D	# ?;?;?,?;
U+7640;U+7640;U+7640	# ?;?;?;
U+7641;U+7641;U+7641	# ?;?;?;
U+7642;U+7597;U+7597,U+7642	# ?;?;?,?;
U+7643;U+7643;U+7643	# ?;?;?;
U+7646;U+75E8;U+75E8,U+7646	# ?;?;?,?;
U+7647;U+75EB;U+75EB,U+7647	# ?;?;?,?;
U+7648;U+5E9F;U+5E9F,U+7648;U+5EE2,U+5EC3	# ?;?;?,?;?,?
U+7649;U+7605;U+7605,U+7649	# ?;?;?,?;
U+764A;U+764A;U+764A	# ?;?;?;
U+764B;U+764B;U+764B	# ?;?;?;
U+764C;U+764C;U+764C	# ?;?;?;
U+764D;U+764D;U+764D	# ?;?;?;
U+764F;U+764F;U+764F	# ?;?;?;
U+7650;U+7650;U+7650	# ?;?;?;
U+7652;U+6108;U+6108,U+7652;U+7609	# ?;?;?,?;?
U+7653;U+7653;U+7653	# ?;?;?;
U+7654;U+7654;U+7654	# ?;?;?;
U+7656;U+7656;U+7656	# ?;?;?;
U+7657;U+7657;U+7657	# ?;?;?;
U+7658;U+75A0;U+75A0,U+7658	# ?;?;?,?;
U+7659;U+7659;U+7659	# ?;?;?;
U+765A;U+765A;U+765A	# ?;?;?;
U+765B;U+765D;U+765D,U+765B	# ?;?;?,?;
U+765C;U+765C;U+765C	# ?;?;?;
U+765D;U+765D;U+765D,U+765B	# ?;?;?,?;
U+765E;U+765E;U+765E,U+7669	# ?;?;?,?;
U+765F;U+762A;U+762A,U+765F	# ?;?;?,?;
U+7660;U+7660;U+7660	# ?;?;?;
U+7661;U+75F4;U+75F4,U+7661	# ?;?;?,?;
U+7662;U+75D2;U+75D2,U+7662	# ?;?;?,?;
U+7663;U+7663;U+7663,U+766C	# ?;?;?,?;
U+7664;U+7596;U+7596,U+7664	# ?;?;?,?;
U+7665;U+75C7;U+75C7,U+7665	# ?;?;?,?;
U+7666;U+7666;U+7666	# ?;?;?;
U+7667;U+75AC;U+75AC,U+7667	# ?;?;?,?;
U+7668;U+970D;U+970D	# ?;?;?;
U+7669;U+765E;U+765E,U+7669	# ?;?;?,?;
U+766A;U+766A;U+766A	# ?;?;?;
U+766B;U+766B;U+766B,U+7672;U+7628	# ?;?;?,?;?
U+766C;U+7663;U+7663,U+766C	# ?;?;?,?;
U+766D;U+763F;U+763F,U+766D	# ?;?;?,?;
U+766E;U+763E;U+763E,U+766E	# ?;?;?,?;
U+766F;U+766F;U+766F	# ?;?;?;
U+7670;U+75C8;U+75C8,U+7670	# ?;?;?,?;
U+7671;U+762B;U+762B,U+7671	# ?;?;?,?;
U+7672;U+766B;U+766B,U+7672;U+7628	# ?;?;?,?;?
U+7674;U+7674;U+7674	# ?;?;?;
U+7675;U+7675;U+7675	# ?;?;?;
U+7676;U+7676;U+7676	# ?;?;?;
U+7677;U+7677;U+7677	# ?;?;?;
U+7678;U+7678;U+7678	# ?;?;?;
U+7679;U+7679;U+7679	# ?;?;?;
U+767B;U+767B;U+767B;U+8C4B	# ?;?;?;?
U+767C;U+53D1;U+53D1,U+767C;U+5F42,U+9AEA,U+9AEE	# ?;?;?,?;?,?,?
U+767D;U+767D;U+767D	# ?;?;?;
U+767E;U+767E;U+767E	# ?;?;?;
U+767F;U+767F;U+767F	# ?;?;?;
U+7680;U+7680;U+7680	# ?;?;?;
U+7681;U+7682;U+7682,U+7681	# ?;?;?,?;
U+7682;U+7682;U+7682;U+7681	# ?;?;?;?
U+7683;U+8C8C;U+8C8C	# ?;?;?;
U+7684;U+7684;U+7684	# ?;?;?;
U+7685;U+7685;U+7685	# ?;?;?;
U+7686;U+7686;U+7686	# ?;?;?;
U+7687;U+7687;U+7687	# ?;?;?;
U+7688;U+5F52;U+7688;U+5E30,U+6B78,U+5F52	# ?;?;?;?,?,?
U+7689;U+7689;U+7689	# ?;?;?;
U+768A;U+768A;U+768A	# ?;?;?;
U+768B;U+768B;U+768B;U+7690	# ?;?;?;?
U+768C;U+768C;U+768C	# ?;?;?;
U+768E;U+768E;U+768E;U+76A6	# ?;?;?;?
U+768F;U+768F;U+768F	# ?;?;?;
U+7690;U+768B;U+768B	# ?;?;?;
U+7691;U+7691;U+7691,U+769A	# ?;?;?,?;
U+7692;U+7692;U+7692	# ?;?;?;
U+7693;U+7693;U+7693;U+66A0,U+769C	# ?;?;?;?,?
U+7694;U+7694;U+7694	# ?;?;?;
U+7695;U+7695;U+7695	# ?;?;?;
U+7696;U+7696;U+7696;U+6665	# ?;?;?;?
U+7697;U+7697;U+7697	# ?;?;?;
U+7698;U+7698;U+7698	# ?;?;?;
U+7699;U+7699;U+7699	# ?;?;?;
U+769A;U+7691;U+7691,U+769A	# ?;?;?,?;
U+769B;U+769B;U+769B	# ?;?;?;
U+769C;U+7693;U+7693,U+769C;U+66A0	# ?;?;?,?;?
U+769D;U+769D;U+769D	# ?;?;?;
U+769E;U+769E;U+769E	# ?;?;?;
U+769F;U+769F;U+769F	# ?;?;?;
U+76A0;U+76A0;U+76A0	# ?;?;?;
U+76A3;U+76A3;U+76A3	# ?;?;?;
U+76A4;U+76A4;U+76A4	# ?;?;?;
U+76A6;U+768E;U+768E,U+76A6	# ?;?;?,?;
U+76A7;U+76A7;U+76A7	# ?;?;?;
U+76A9;U+76A9;U+76A9	# ?;?;?;
U+76AA;U+76AA;U+76AA	# ?;?;?;
U+76AB;U+76AB;U+76AB	# ?;?;?;
U+76AC;U+76AC;U+76AC	# ?;?;?;
U+76AD;U+76AD;U+76AD	# ?;?;?;
U+76AE;U+76AE;U+76AE	# ?;?;?;
U+76AF;U+76AF;U+76AF	# ?;?;?;
U+76B0;U+75B1;U+75B1,U+76B0	# ?;?;?,?;
U+76B1;U+76B1;U+76B1,U+76BA	# ?;?;?,?;
U+76B2;U+76B2;U+76B2,U+76B8	# ?;?;?,?;
U+76B4;U+76B4;U+76B4	# ?;?;?;
U+76B5;U+76B5;U+76B5	# ?;?;?;
U+76B7;U+9F13;U+9F13;U+76BC	# ?;?;?;?
U+76B8;U+76B2;U+76B2,U+76B8	# ?;?;?,?;
U+76BA;U+76B1;U+76B1,U+76BA	# ?;?;?,?;
U+76BB;U+76BB;U+76BB	# ?;?;?;
U+76BC;U+9F13;U+9F13;U+76B7	# ?;?;?;?
U+76BD;U+76BD;U+76BD	# ?;?;?;
U+76BE;U+76BE;U+76BE	# ?;?;?;
U+76BF;U+76BF;U+76BF	# ?;?;?;
U+76C0;U+76C0;U+76C0	# ?;?;?;
U+76C2;U+76C2;U+76C2	# ?;?;?;
U+76C3;U+676F;U+676F,U+76C3;U+686E	# ?;?;?,?;?
U+76C4;U+76C4;U+76C4	# ?;?;?;
U+76C5;U+51B2;U+76C5;U+51B2,U+794C,U+885D,U+6C96,U+8876	# ?;?;?;?,?,?,?,?
U+76C6;U+76C6;U+76C6	# ?;?;?;
U+76C7;U+76CD;U+76CD	# ?;?;?;
U+76C8;U+76C8;U+76C8	# ?;?;?;
U+76C9;U+76C9;U+76C9	# ?;?;?;
U+76CA;U+76CA;U+76CA	# ?;?;?;
U+76CD;U+76CD;U+76CD;U+76C7	# ?;?;?;?
U+76CE;U+76CE;U+76CE	# ?;?;?;
U+76CF;U+76CF;U+76CF,U+76DE;U+7416,U+9186	# ?;?;?,?;?,?
U+76D0;U+76D0;U+76D0,U+9E7D;U+5869	# ?;?;?,?;?
U+76D1;U+76D1;U+76D1,U+76E3	# ?;?;?,?;
U+76D2;U+76D2;U+76D2	# ?;?;?;
U+76D3;U+76D3;U+76D3	# ?;?;?;
U+76D4;U+76D4;U+76D4	# ?;?;?;
U+76D5;U+76D5;U+76D5	# ?;?;?;
U+76D6;U+76D6;U+76D6,U+84CB;U+8462	# ?;?;?,?;?
U+76D7;U+76D7;U+76D7,U+76DC	# ?;?;?,?;
U+76D8;U+76D8;U+76D8,U+76E4;U+6D00	# ?;?;?,?;?
U+76DA;U+76DA;U+76DA	# ?;?;?;
U+76DB;U+76DB;U+76DB	# ?;?;?;
U+76DC;U+76D7;U+76D7,U+76DC	# ?;?;?,?;
U+76DD;U+76DD;U+76DD	# ?;?;?;
U+76DE;U+76CF;U+76CF,U+76DE;U+7416,U+9186	# ?;?;?,?;?,?
U+76DF;U+76DF;U+76DF	# ?;?;?;
U+76E0;U+76E0;U+76E0	# ?;?;?;
U+76E1;U+5C3D;U+5C3D,U+76E1;U+5118	# ?;?;?,?;?
U+76E2;U+76E2;U+76E2	# ?;?;?;
U+76E3;U+76D1;U+76D1,U+76E3	# ?;?;?,?;
U+76E4;U+76D8;U+76D8,U+76E4;U+6D00	# ?;?;?,?;?
U+76E5;U+76E5;U+76E5	# ?;?;?;
U+76E6;U+76E6;U+76E6	# ?;?;?;
U+76E7;U+5362;U+5362,U+76E7	# ?;?;?,?;
U+76E8;U+76E8;U+76E8	# ?;?;?;
U+76E9;U+76E9;U+76E9	# ?;?;?;
U+76EA;U+8361;U+76EA;U+8361,U+6F52,U+862F,U+8569	# ?;?;?;?,?,?,?
U+76EC;U+76EC;U+76EC	# ?;?;?;
U+76ED;U+623E;U+623E,U+76ED;U+623B	# ?;?;?,?;?
U+76EE;U+76EE;U+76EE	# ?;?;?;
U+76EF;U+76EF;U+76EF	# ?;?;?;
U+76F0;U+76F0;U+76F0	# ?;?;?;
U+76F1;U+76F1;U+76F1	# ?;?;?;
U+76F2;U+76F2;U+76F2;U+76F3	# ?;?;?;?
U+76F3;U+76F2;U+76F2,U+76F3	# ?;?;?,?;
U+76F4;U+76F4;U+76F4	# ?;?;?;
U+76F5;U+76F5;U+76F5	# ?;?;?;
U+76F6;U+76F6;U+76F6	# ?;?;?;
U+76F7;U+76F7;U+76F7	# ?;?;?;
U+76F8;U+76F8;U+76F8	# ?;?;?;
U+76F9;U+76F9;U+76F9	# ?;?;?;
U+76FA;U+76FA;U+76FA	# ?;?;?;
U+76FB;U+76FB;U+76FB	# ?;?;?;
U+76FC;U+76FC;U+76FC	# ?;?;?;
U+76FD;U+76FD;U+76FD	# ?;?;?;
U+76FE;U+76FE;U+76FE	# ?;?;?;
U+76FF;U+76FF;U+76FF	# ?;?;?;
U+7701;U+7701;U+7701	# ?;?;?;
U+7703;U+7703;U+7703	# ?;?;?;
U+7704;U+7704;U+7704	# ?;?;?;
U+7705;U+7705;U+7705	# ?;?;?;
U+7706;U+7706;U+7706	# ?;?;?;
U+7707;U+7707;U+7707	# ?;?;?;
U+7708;U+7708;U+7708	# ?;?;?;
U+7709;U+7709;U+7709	# ?;?;?;
U+770A;U+770A;U+770A	# ?;?;?;
U+770B;U+770B;U+770B	# ?;?;?;
U+770C;U+770C;U+770C	# ?;?;?;
U+770D;U+770D;U+770D,U+7798	# ?;?;?,?;
U+770F;U+770F;U+770F	# ?;?;?;
U+7710;U+7710;U+7710	# ?;?;?;
U+7711;U+7711;U+7711	# ?;?;?;
U+7712;U+7712;U+7712	# ?;?;?;
U+7713;U+7713;U+7713	# ?;?;?;
U+7714;U+7714;U+7714	# ?;?;?;
U+7715;U+7715;U+7715	# ?;?;?;
U+7716;U+7716;U+7716	# ?;?;?;
U+7717;U+7717;U+7717	# ?;?;?;
U+7718;U+614E;U+614E;U+661A,U+613C	# ?;?;?;?,?
U+7719;U+7719;U+7719	# ?;?;?;
U+771A;U+771A;U+771A	# ?;?;?;
U+771B;U+771B;U+771B	# ?;?;?;
U+771C;U+771C;U+771C	# ?;?;?;
U+771D;U+771D;U+771D	# ?;?;?;
U+771E;U+771F;U+771F	# ?;?;?;
U+771F;U+771F;U+771F;U+771E	# ?;?;?;?
U+7720;U+7720;U+7720	# ?;?;?;
U+7722;U+7722;U+7722	# ?;?;?;
U+7723;U+7723;U+7723	# ?;?;?;
U+7725;U+7725;U+7725	# ?;?;?;
U+7726;U+7726;U+7726	# ?;?;?;
U+7727;U+7727;U+7727	# ?;?;?;
U+7728;U+7728;U+7728	# ?;?;?;
U+7729;U+7729;U+7729	# ?;?;?;
U+772A;U+772A;U+772A	# ?;?;?;
U+772C;U+772C;U+772C,U+77D3	# ?;?;?,?;
U+772D;U+772D;U+772D	# ?;?;?;
U+772E;U+772E;U+772E	# ?;?;?;
U+772F;U+772F;U+772F;U+7787	# ?;?;?;?
U+7730;U+7730;U+7730	# ?;?;?;
U+7731;U+7731;U+7731	# ?;?;?;
U+7732;U+7732;U+7732	# ?;?;?;
U+7733;U+7733;U+7733	# ?;?;?;
U+7734;U+7734;U+7734	# ?;?;?;
U+7735;U+7735;U+7735	# ?;?;?;
U+7736;U+7736;U+7736	# ?;?;?;
U+7737;U+7737;U+7737;U+7760	# ?;?;?;?
U+7738;U+7738;U+7738	# ?;?;?;
U+7739;U+7739;U+7739	# ?;?;?;
U+773A;U+773A;U+773A;U+899C	# ?;?;?;?
U+773B;U+773B;U+773B	# ?;?;?;
U+773C;U+773C;U+773C	# ?;?;?;
U+773D;U+773D;U+773D	# ?;?;?;
U+773E;U+4F17;U+4F17,U+773E;U+8846	# ?;?;?,?;?
U+7740;U+7740;U+7740,U+8457	# ?;?;?,?;
U+7741;U+7741;U+7741,U+775C	# ?;?;?,?;
U+7743;U+7743;U+7743	# ?;?;?;
U+7744;U+7744;U+7744	# ?;?;?;
U+7745;U+7745;U+7745	# ?;?;?;
U+7746;U+7746;U+7746	# ?;?;?;
U+7747;U+7747;U+7747	# ?;?;?;
U+7748;U+7748;U+7748	# ?;?;?;
U+7749;U+7749;U+7749	# ?;?;?;
U+774A;U+774A;U+774A	# ?;?;?;
U+774B;U+774B;U+774B	# ?;?;?;
U+774C;U+774C;U+774C	# ?;?;?;
U+774D;U+774D;U+774D	# ?;?;?;
U+774E;U+774E;U+774E	# ?;?;?;
U+774F;U+56F0;U+56F0,U+774F	# ?;?;?,?;
U+7750;U+7750;U+7750,U+775E	# ?;?;?,?;
U+7751;U+7751;U+7751,U+77BC	# ?;?;?,?;
U+7752;U+7752;U+7752	# ?;?;?;
U+7753;U+7753;U+7753	# ?;?;?;
U+7754;U+7754;U+7754	# ?;?;?;
U+7755;U+7755;U+7755	# ?;?;?;
U+7756;U+7756;U+7756	# ?;?;?;
U+7757;U+7757;U+7757	# ?;?;?;
U+7758;U+7758;U+7758	# ?;?;?;
U+7759;U+7759;U+7759	# ?;?;?;
U+775A;U+775A;U+775A	# ?;?;?;
U+775B;U+775B;U+775B	# ?;?;?;
U+775C;U+7741;U+7741,U+775C	# ?;?;?,?;
U+775D;U+775D;U+775D	# ?;?;?;
U+775E;U+7750;U+7750,U+775E	# ?;?;?,?;
U+775F;U+775F;U+775F	# ?;?;?;
U+7760;U+7737;U+7737,U+7760	# ?;?;?,?;
U+7761;U+7761;U+7761	# ?;?;?;
U+7762;U+7762;U+7762	# ?;?;?;
U+7763;U+7763;U+7763	# ?;?;?;
U+7765;U+7765;U+7765	# ?;?;?;
U+7766;U+7766;U+7766	# ?;?;?;
U+7767;U+7767;U+7767	# ?;?;?;
U+7768;U+7768;U+7768	# ?;?;?;
U+7769;U+7769;U+7769	# ?;?;?;
U+776A;U+776A;U+776A;U+777E	# ?;?;?;?
U+776B;U+776B;U+776B	# ?;?;?;
U+776C;U+776C;U+776C	# ?;?;?;
U+776D;U+776D;U+776D	# ?;?;?;
U+776E;U+776E;U+776E	# ?;?;?;
U+776F;U+776F;U+776F	# ?;?;?;
U+7770;U+7770;U+7770	# ?;?;?;
U+7771;U+7771;U+7771	# ?;?;?;
U+7772;U+7772;U+7772	# ?;?;?;
U+7773;U+7773;U+7773	# ?;?;?;
U+7774;U+7774;U+7774	# ?;?;?;
U+7775;U+7775;U+7775	# ?;?;?;
U+7776;U+7776;U+7776	# ?;?;?;
U+7777;U+7777;U+7777	# ?;?;?;
U+7778;U+7778;U+7778	# ?;?;?;
U+7779;U+7779;U+7779	# ?;?;?;
U+777A;U+777A;U+777A	# ?;?;?;
U+777B;U+777B;U+777B	# ?;?;?;
U+777C;U+777C;U+777C	# ?;?;?;
U+777D;U+777D;U+777D	# ?;?;?;
U+777E;U+776A;U+777E;U+776A	# ?;?;?;?
U+777F;U+777F;U+777F;U+53E1	# ?;?;?;?
U+7780;U+7780;U+7780	# ?;?;?;
U+7781;U+7781;U+7781	# ?;?;?;
U+7782;U+7782;U+7782	# ?;?;?;
U+7783;U+7783;U+7783	# ?;?;?;
U+7784;U+7784;U+7784	# ?;?;?;
U+7785;U+7785;U+7785;U+5062	# ?;?;?;?
U+7786;U+7786;U+7786,U+77B6	# ?;?;?,?;
U+7787;U+772F;U+772F,U+7787	# ?;?;?,?;
U+7788;U+7788;U+7788	# ?;?;?;
U+7789;U+7789;U+7789	# ?;?;?;
U+778A;U+778A;U+778A	# ?;?;?;
U+778B;U+778B;U+778B	# ?;?;?;
U+778C;U+778C;U+778C	# ?;?;?;
U+778D;U+778D;U+778D	# ?;?;?;
U+778E;U+778E;U+778E	# ?;?;?;
U+778F;U+778F;U+778F	# ?;?;?;
U+7790;U+7790;U+7790	# ?;?;?;
U+7791;U+7791;U+7791	# ?;?;?;
U+7792;U+7792;U+7792,U+779E	# ?;?;?,?;
U+7793;U+7793;U+7793	# ?;?;?;
U+7794;U+7794;U+7794	# ?;?;?;
U+7795;U+7795;U+7795	# ?;?;?;
U+7797;U+7797;U+7797	# ?;?;?;
U+7798;U+770D;U+770D,U+7798	# ?;?;?,?;
U+7799;U+7799;U+7799	# ?;?;?;
U+779A;U+77AC;U+77AC,U+779A	# ?;?;?,?;
U+779B;U+779B;U+779B	# ?;?;?;
U+779C;U+4056;U+4056,U+779C	# ?;?;?,?;
U+779D;U+779D;U+779D	# ?;?;?;
